"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSMs","SPD",0.198651322172383,1,40,0.658214818711993,"   ",0.198651322172383,1,0.655811669232768,"   ","heaSMs <= SPD"
"heaSMs","clim",0.0066671954008527,1,40,0.935329950570501,"   ",0.0066671954008527,1,0.934922736882019,"   ","heaSMs <= clim"
"heaSMs","SPD|clim",0.104418733971964,2,40,0.901092739428615,"   ",0.208837467943929,2,0.900848002771337,"   ","heaSMs <= SPD|clim"
"araSMs","SPD",3.73888385891467,2,36,0.0334683830026716,"*  ",7.47776771782933,2,0.023780630863347,"*  ","araSMs <= SPD"
"araSMs","clim",1.30388734267777,2,36,0.28398745335113,"   ",2.60777468535553,2,0.271474425071236,"   ","araSMs <= clim"
"araSMs","SPD|clim",2.59873930453172,4,36,0.0523353211268278,".  ",10.3949572181269,4,0.0342751020659184,"*  ","araSMs <= SPD|clim"
"pasSMs","SPD",5.68481710043186,1,40,0.0219445667184755,"*  ",5.68481710043186,1,0.0171123231241457,"*  ","pasSMs <= SPD"
"pasSMs","clim",7.07427554456166,1,40,0.0111950816384735,"*  ",7.07427554456166,1,0.00781984322102457,"** ","pasSMs <= clim"
"pasSMs","SPD|clim",5.91217150886623,2,40,0.00563019870322226,"** ",11.8243430177325,2,0.00270630373947953,"** ","pasSMs <= SPD|clim"
"wetmSMs","SPD",9.03869583514601,1,40,0.00455107654537778,"** ",9.03869583514601,1,0.00264324135969512,"** ","wetmSMs <= SPD"
"wetmSMs","clim",0.131563485887241,1,40,0.718726070122805,"   ",0.131563485887241,1,0.716816439462695,"   ","wetmSMs <= clim"
"wetmSMs","SPD|clim",4.56834572714651,2,40,0.0163335887027651,"*  ",9.13669145429302,2,0.0103751087899036,"*  ","wetmSMs <= SPD|clim"
"wetwSMs","SPD",0.427114967203974,2,36,0.655651220829743,"   ",0.854229934407947,2,0.652388544629396,"   ","wetwSMs <= SPD"
"wetwSMs","clim",1.42575671874509,2,36,0.253572453709703,"   ",2.85151343749018,2,0.240326534788883,"   ","wetwSMs <= clim"
"wetwSMs","SPD|clim",0.807368280658077,4,36,0.528674667146529,"   ",3.22947312263231,4,0.5201837261737,"   ","wetwSMs <= SPD|clim"
"decSMs","SPD",6.13199620732495,1,40,0.0176045699159157,"*  ",6.13199620732495,1,0.0132756895462383,"*  ","decSMs <= SPD"
"decSMs","clim",0.107399690948281,1,40,0.744833372268739,"   ",0.107399690948281,1,0.743124196153773,"   ","decSMs <= clim"
"decSMs","SPD|clim",3.19287329792431,2,40,0.0517021739071628,".  ",6.38574659584861,2,0.0410537416793085,"*  ","decSMs <= SPD|clim"
"conSMs","SPD",10.2199778788815,1,40,0.00271394708920965,"** ",10.2199778788815,1,0.00138927517318531,"** ","conSMs <= SPD"
"conSMs","clim",1.32665997481444,1,40,0.256238280378996,"   ",1.32665997481444,1,0.249400282006107,"   ","conSMs <= clim"
"conSMs","SPD|clim",5.15356921409523,2,40,0.0102001729834037,"*  ",10.3071384281905,2,0.00577874230598438,"** ","conSMs <= SPD|clim"
"heaSWs","SPD",2.92767674317898,1,48,0.0935288046170353,".  ",2.92767674317898,1,0.0870727115888944,".  ","heaSWs <= SPD"
"heaSWs","clim",2.72435257217257,1,48,0.105357335780722,"   ",2.72435257217257,1,0.0988281886501246,".  ","heaSWs <= clim"
"heaSWs","SPD|clim",2.64900596114882,2,48,0.0810448579965195,".  ",5.29801192229765,2,0.0707214780283626,".  ","heaSWs <= SPD|clim"
"araSWs","SPD",0.0000189756584426318,1,48,0.996542395619461,"   ",0.0000189756584426318,1,0.996524341364835,"   ","araSWs <= SPD"
"araSWs","clim",0.00274496697867367,1,48,0.958433443139691,"   ",0.00274496697867367,1,0.958216003862508,"   ","araSWs <= clim"
"araSWs","SPD|clim",0.00137408172679909,2,48,0.998626901171162,"   ",0.00274816345359817,2,0.998626861891245,"   ","araSWs <= SPD|clim"
"pasSWs","SPD",1.97137112312859,4,36,0.119798188065595,"   ",7.88548449251437,4,0.0958642684297435,".  ","pasSWs <= SPD"
"pasSWs","clim",0.404433844689765,4,36,0.804176204730727,"   ",1.61773537875906,4,0.805601056736241,"   ","pasSWs <= clim"
"pasSWs","SPD|clim",1.17271476632324,8,36,0.341979213981851,"   ",9.38171813058595,8,0.311124581496948,"   ","pasSWs <= SPD|clim"
"wetmSWs","SPD",3.05897682466833,1,48,0.0866846361758821,".  ",3.05897682466833,1,0.0802922140650432,".  ","wetmSWs <= SPD"
"wetmSWs","clim",4.02133458437782,1,48,0.0505839998409805,".  ",4.02133458437782,1,0.0449281479306853,"*  ","wetmSWs <= clim"
"wetmSWs","SPD|clim",3.29961029123279,2,48,0.0454271052262555,"*  ",6.59922058246558,2,0.0368975438960798,"*  ","wetmSWs <= SPD|clim"
"wetwSWs","SPD",7.69553726803667,1,48,0.00786255921333924,"** ",7.69553726803667,1,0.00553575288735273,"** ","wetwSWs <= SPD"
"wetwSWs","clim",0.578526651975946,1,48,0.450610712485715,"   ",0.578526651975946,1,0.446890406453706,"   ","wetwSWs <= clim"
"wetwSWs","SPD|clim",3.96010906024013,2,48,0.0255939392856102,"*  ",7.92021812048026,2,0.0190610353771549,"*  ","wetwSWs <= SPD|clim"
"decSWs","SPD",3.87296154195108,1,48,0.0548612929516175,".  ",3.87296154195108,1,0.0490698635617958,"*  ","decSWs <= SPD"
"decSWs","clim",0.337270378204385,1,48,0.564125955674208,"   ",0.337270378204385,1,0.561409064872179,"   ","decSWs <= clim"
"decSWs","SPD|clim",2.17011813292478,2,48,0.125237216783976,"   ",4.34023626584956,2,0.114164129571671,"   ","decSWs <= SPD|clim"
"conSWs","SPD",1.04731523878932,1,48,0.311256389627918,"   ",1.04731523878932,1,0.306126222704367,"   ","conSWs <= SPD"
"conSWs","clim",0.719928873055795,1,48,0.400378862298216,"   ",0.719928873055795,1,0.396167241068037,"   ","conSWs <= clim"
"conSWs","SPD|clim",0.932483850548027,2,48,0.40058684871797,"   ",1.86496770109605,2,0.393574914017024,"   ","conSWs <= SPD|clim"
"heaMMs","SPD",7.61103803649264,1,20,0.0121092011848876,"*  ",7.61103803649264,1,0.00580120788434515,"** ","heaMMs <= SPD"
"heaMMs","clim",0.0303454928518525,1,20,0.863459852993929,"   ",0.0303454928518525,1,0.861708617453016,"   ","heaMMs <= clim"
"heaMMs","SPD|clim",3.85605671456328,2,20,0.0383357069952935,"*  ",7.71211342912656,2,0.0211512406726849,"*  ","heaMMs <= SPD|clim"
"araMMs","SPD",7.3813319321838,1,20,0.0132784427080592,"*  ",7.3813319321838,1,0.00659043439811521,"** ","araMMs <= SPD"
"araMMs","clim",0.00919794823394142,1,20,0.924549763707801,"   ",0.00919794823394142,1,0.923595281419446,"   ","araMMs <= clim"
"araMMs","SPD|clim",4.01839149354092,2,20,0.0341207175595818,"*  ",8.03678298708184,2,0.0179818656368156,"*  ","araMMs <= SPD|clim"
