"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSMs","SPD",0.151941266903434,2,67,0.859333890425667,"   ",0.303882533806868,2,0.859038733264367,"   ","heaSMs <= SPD"
"heaSMs","clim",2.87170454680545,2,67,0.0635943608898274,".  ",5.74340909361089,2,0.0566023629276857,".  ","heaSMs <= clim"
"heaSMs","SPD|clim",1.9722287628529,4,67,0.108771500642495,"   ",7.88891505141158,4,0.0957331861196303,".  ","heaSMs <= SPD|clim"
"araSMs","SPD",2.80525869727915,3,63,0.0468283653338885,"*  ",8.41577609183744,3,0.0381567325090627,"*  ","araSMs <= SPD"
"araSMs","clim",0.519180161244684,3,63,0.670618099661927,"   ",1.55754048373405,3,0.669055079306946,"   ","araSMs <= clim"
"araSMs","SPD|clim",1.74179931933231,6,63,0.125955416542798,"   ",10.4507959159939,6,0.106907111689162,"   ","araSMs <= SPD|clim"
"pasSMs","SPD",5.67070472197311,1,71,0.0199348698852879,"*  ",5.67070472197311,1,0.0172505246747249,"*  ","pasSMs <= SPD"
"pasSMs","clim",0.12353860507862,1,71,0.726268778299871,"   ",0.12353860507862,1,0.725227831770727,"   ","pasSMs <= clim"
"pasSMs","SPD|clim",10.0182035773599,2,71,0.000147073691047788,"***",20.0364071547198,2,0.0000445809652854388,"***","pasSMs <= SPD|clim"
"wetmSMs","SPD",3.15015283392804,1,71,0.0802061568217055,".  ",3.15015283392804,1,0.0759198518480435,".  ","wetmSMs <= SPD"
"wetmSMs","clim",0.834727152252265,1,71,0.364001377274887,"   ",0.834727152252265,1,0.360909175590217,"   ","wetmSMs <= clim"
"wetmSMs","SPD|clim",1.64069819311951,2,71,0.201107966816094,"   ",3.28139638623901,2,0.193844654029119,"   ","wetmSMs <= SPD|clim"
"wetwSMs","SPD",1.60836446756255,5,55,0.173209806447672,"   ",8.04182233781275,5,0.153945728674948,"   ","wetwSMs <= SPD"
"wetwSMs","clim",0.440894151860848,5,55,0.818002139112704,"   ",2.20447075930424,5,0.820189933888051,"   ","wetwSMs <= clim"
"wetwSMs","SPD|clim",1.18313949827949,10,55,0.322114830029265,"   ",11.8313949827949,10,0.29649912650162,"   ","wetwSMs <= SPD|clim"
"decSMs","SPD",0.52729427811582,2,67,0.592628544473058,"   ",1.05458855623164,2,0.590199727538646,"   ","decSMs <= SPD"
"decSMs","clim",2.56565969803685,2,67,0.0844026413430298,".  ",5.13131939607369,2,0.0768684547428331,".  ","decSMs <= clim"
"decSMs","SPD|clim",1.72164701755919,4,67,0.155490565904516,"   ",6.88658807023675,4,0.142004286680678,"   ","decSMs <= SPD|clim"
"conSMs","SPD",0.206798948937105,1,71,0.650675412987334,"   ",0.206798948937105,1,0.649288008350531,"   ","conSMs <= SPD"
