"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSMs","SPD",0.0340988467197831,2,67,0.966492728125707,"   ",0.0681976934395661,2,0.966475966936709,"   ","heaSMs <= SPD"
"heaSMs","clim",2.01028331967441,2,67,0.141950666068512,"   ",4.02056663934882,2,0.133950718418253,"   ","heaSMs <= clim"
"heaSMs","SPD|clim",1.43206313209273,4,67,0.233011588306789,"   ",5.72825252837092,4,0.220382485596307,"   ","heaSMs <= SPD|clim"
"araSMs","SPD",3.99102077042674,3,63,0.0114754982709692,"*  ",11.9730623112802,3,0.00747600960533334,"** ","araSMs <= SPD"
"araSMs","clim",0.584587073415867,3,63,0.627328061454038,"   ",1.7537612202476,3,0.625048321098442,"   ","araSMs <= clim"
"araSMs","SPD|clim",2.40732728955886,6,63,0.0370235786021133,"*  ",14.4439637373531,6,0.0250514857048914,"*  ","araSMs <= SPD|clim"
"pasSMs","SPD",4.11545380413478,1,71,0.0462447760256378,"*  ",4.11545380413478,1,0.0424931234320438,"*  ","pasSMs <= SPD"
"pasSMs","clim",0.00108868405106351,1,71,0.973770988034462,"   ",0.00108868405106351,1,0.973678405397842,"   ","pasSMs <= clim"
"pasSMs","SPD|clim",4.63683130450131,2,71,0.0128034521520558,"*  ",9.27366260900262,2,0.00968834846647941,"** ","pasSMs <= SPD|clim"
"wetmSMs","SPD",7.39463187156086,1,71,0.00821767012139648,"** ",7.39463187156086,1,0.00654188118334149,"** ","wetmSMs <= SPD"
"wetmSMs","clim",1.70873482492962,1,71,0.195367254160361,"   ",1.70873482492962,1,0.191149602804324,"   ","wetmSMs <= clim"
"wetmSMs","SPD|clim",4.0384086691691,2,71,0.0218235516935184,"*  ",8.07681733833821,2,0.0176254981091851,"*  ","wetmSMs <= SPD|clim"
"wetwSMs","SPD",1.59078622032261,1,71,0.211342283164393,"   ",1.59078622032261,1,0.207213840835356,"   ","wetwSMs <= SPD"
"wetwSMs","clim",0.417146147126263,1,71,0.520446567295695,"   ",0.417146147126263,1,0.518364507257319,"   ","wetwSMs <= clim"
"wetwSMs","SPD|clim",0.816380526135138,2,71,0.446134412307904,"   ",1.63276105227028,2,0.442028673810067,"   ","wetwSMs <= SPD|clim"
"decSMs","SPD",8.83570533942874,1,71,0.00403100830967034,"** ",8.83570533942874,1,0.00295393450467794,"** ","decSMs <= SPD"
"decSMs","clim",3.8705662085124,1,71,0.0530475855725873,".  ",3.8705662085124,1,0.0491399410961217,"*  ","decSMs <= clim"
"decSMs","SPD|clim",4.49507119658361,2,71,0.0145169940350029,"*  ",8.99014239316722,2,0.0111638857562963,"*  ","decSMs <= SPD|clim"
"conSMs","SPD",1.18241892504648,1,71,0.280541801613296,"   ",1.18241892504648,1,0.276864100144193,"   ","conSMs <= SPD"
"conSMs","clim",0.0451954021507401,1,71,0.832254315819821,"   ",0.0451954021507401,1,0.831645131740604,"   ","conSMs <= clim"
"conSMs","SPD|clim",0.960816683963114,2,71,0.387498130432873,"   ",1.92163336792623,2,0.382580311150342,"   ","conSMs <= SPD|clim"
"heaSWs","SPD",1.77866257905004,3,71,0.159027506832003,"   ",5.33598773715013,3,0.14878417309577,"   ","heaSWs <= SPD"
"heaSWs","clim",0.803178118400695,3,71,0.496228564337521,"   ",2.40953435520209,3,0.491862273275196,"   ","heaSWs <= clim"
"heaSWs","SPD|clim",0.950978857755863,6,71,0.464655363757657,"   ",5.70587314653518,6,0.456931325252854,"   ","heaSWs <= SPD|clim"
"araSWs","SPD",5.09614107382047,3,71,0.00298592684047746,"** ",15.2884232214614,3,0.00158604604949017,"** ","araSWs <= SPD"
"araSWs","clim",0.193250689800424,3,71,0.900668344637153,"   ",0.579752069401271,3,0.901051622277126,"   ","araSWs <= clim"
"araSWs","SPD|clim",2.78927446949387,6,71,0.0171037313995789,"*  ",16.7356468169632,6,0.0103054926694662,"*  ","araSWs <= SPD|clim"
"pasSWs","SPD",1.17124551776968,5,63,0.333285017187619,"   ",5.85622758884839,5,0.320460966779096,"   ","pasSWs <= SPD"
"pasSWs","clim",1.7654250682054,5,63,0.132936108813105,"   ",8.82712534102699,5,0.116161420696023,"   ","pasSWs <= clim"
"pasSWs","SPD|clim",1.8145251598842,10,63,0.0761159107696195,".  ",18.145251598842,10,0.0525623279531435,".  ","pasSWs <= SPD|clim"
"wetmSWs","SPD",1.88067431842023,1,79,0.174140329277922,"   ",1.88067431842023,1,0.170257526845378,"   ","wetmSWs <= SPD"
"wetmSWs","clim",0.659137065675385,1,79,0.419304341794293,"   ",0.659137065675385,1,0.416864756915737,"   ","wetmSWs <= clim"
"wetmSWs","SPD|clim",1.14513071637203,2,79,0.323406359411939,"   ",2.29026143274407,2,0.318182323432982,"   ","wetmSWs <= SPD|clim"
"wetwSWs","SPD",3.69560925228337,1,79,0.0581606309660908,".  ",3.69560925228337,1,0.0545558546192689,".  ","wetwSWs <= SPD"
