"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSMs","SPD",1.9724338457857,1,26,0.17202391631035,"   ",1.9724338457857,1,0.160189759785433,"   ","heaSMs <= SPD"
"heaSMs","clim",5.09395647587044,1,26,0.0326394825173579,"*  ",5.09395647587044,1,0.0240093555843871,"*  ","heaSMs <= clim"
"heaSMs","SPD|clim",2.56101192323907,2,26,0.0965543220310677,".  ",5.12202384647815,2,0.0772265535461955,".  ","heaSMs <= SPD|clim"
"araSMs","SPD",0.11224282062804,1,26,0.740293054868725,"   ",0.11224282062804,1,0.737605023038907,"   ","araSMs <= SPD"
"araSMs","clim",1.56829861493523,1,26,0.221602439342349,"   ",1.56829861493523,1,0.210454268179049,"   ","araSMs <= clim"
"araSMs","SPD|clim",1.57926057238514,2,26,0.225269349415167,"   ",3.15852114477028,2,0.206127458203123,"   ","araSMs <= SPD|clim"
"pasSMs","SPD",0.00366633932884975,1,26,0.95218039265294,"   ",0.00366633932884975,1,0.951717352421267,"   ","pasSMs <= SPD"
"pasSMs","clim",2.72131069830083,1,26,0.111048052639701,"   ",2.72131069830083,1,0.0990166774662931,".  ","pasSMs <= clim"
"pasSMs","SPD|clim",1.44989373233679,2,26,0.252943246442036,"   ",2.89978746467357,2,0.234595216654699,"   ","pasSMs <= SPD|clim"
"wetmSMs","SPD",3.68930351985786,2,22,0.0415246792199544,"*  ",7.37860703971571,2,0.0249894006039812,"*  ","wetmSMs <= SPD"
"wetmSMs","clim",1.19383306181431,2,22,0.321941409383342,"   ",2.38766612362862,2,0.303057397168188,"   ","wetmSMs <= clim"
"wetmSMs","SPD|clim",1.84949803345229,4,22,0.155339808658055,"   ",7.39799213380915,4,0.116292444893408,"   ","wetmSMs <= SPD|clim"
"wetwSMs","SPD",13.1118629828506,1,26,0.00124568614526726,"** ",13.1118629828506,1,0.000293431743650644,"***","wetwSMs <= SPD"
"wetwSMs","clim",2.43690679971066,1,26,0.130600590016737,"   ",2.43690679971066,1,0.118509709918052,"   ","wetwSMs <= clim"
"wetwSMs","SPD|clim",6.67081925875046,2,26,0.00458745435696953,"** ",13.3416385175009,2,0.00126736002978022,"** ","wetwSMs <= SPD|clim"
"decSMs","SPD",3.28909195026508,1,26,0.0813010604836295,".  ",3.28909195026508,1,0.0697415821151485,".  ","decSMs <= SPD"
"decSMs","clim",0.557648805119718,1,26,0.461909030629234,"   ",0.557648805119718,1,0.455209128895645,"   ","decSMs <= clim"
"decSMs","SPD|clim",1.64792848502854,2,26,0.211920435365389,"   ",3.29585697005709,2,0.19244815522622,"   ","decSMs <= SPD|clim"
"conSMs","SPD",5.6389762250978,1,26,0.0252298222388707,"*  ",5.6389762250978,1,0.0175654611556058,"*  ","conSMs <= SPD"
"conSMs","clim",0.0512472426570104,1,26,0.822677330687087,"   ",0.0512472426570104,1,0.820907018551318,"   ","conSMs <= clim"
"conSMs","SPD|clim",2.91189928175938,2,26,0.0722565638654743,".  ",5.82379856351876,2,0.0543723633013116,".  ","conSMs <= SPD|clim"
