"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSMs","SPD",1.65524354536486,1,26,0.209585011348672,"   ",1.65524354536486,1,0.198246756437661,"   ","heaSMs <= SPD"
"heaSMs","clim",4.83087403053406,1,26,0.0370577743985452,"*  ",4.83087403053406,1,0.0279544554821393,"*  ","heaSMs <= clim"
"heaSMs","SPD|clim",2.44012181405683,2,26,0.106857298234216,"   ",4.88024362811366,2,0.0871502346917171,".  ","heaSMs <= SPD|clim"
"araSMs","SPD",1.78918848605711,1,26,0.192608935163182,"   ",1.78918848605711,1,0.181025069085453,"   ","araSMs <= SPD"
"araSMs","clim",1.59032840258167,1,26,0.218477924852647,"   ",1.59032840258167,1,0.207279220530952,"   ","araSMs <= clim"
"araSMs","SPD|clim",1.05027494239327,2,26,0.364217562491205,"   ",2.10054988478653,2,0.349841549614187,"   ","araSMs <= SPD|clim"
"pasSMs","SPD",2.62225367698402,2,22,0.0951877228784523,".  ",5.24450735396805,2,0.0726389734373506,".  ","pasSMs <= SPD"
"pasSMs","clim",5.55367026552013,2,22,0.0111553251827987,"*  ",11.1073405310403,2,0.00387321539486486,"** ","pasSMs <= clim"
"pasSMs","SPD|clim",3.85452559213874,4,22,0.0160573869593188,"*  ",15.418102368555,4,0.00390816105742261,"** ","pasSMs <= SPD|clim"
"wetmSMs","SPD",3.0712366509923,1,26,0.0914757332904716,".  ",3.0712366509923,1,0.079688830534666,".  ","wetmSMs <= SPD"
"wetmSMs","clim",1.50508847875911,1,26,0.230884063781499,"   ",1.50508847875911,1,0.219890073314133,"   ","wetmSMs <= clim"
"wetmSMs","SPD|clim",1.54936243265848,2,26,0.231362019842193,"   ",3.09872486531695,2,0.212383339350893,"   ","wetmSMs <= SPD|clim"
"wetwSMs","SPD",1.45926279539187,1,26,0.237920940129696,"   ",1.45926279539187,1,0.227047454131643,"   ","wetwSMs <= SPD"
"wetwSMs","clim",0.633177520703283,1,26,0.433397362149828,"   ",0.633177520703283,1,0.426192168422931,"   ","wetwSMs <= clim"
"wetwSMs","SPD|clim",0.729894540376093,2,26,0.491575196483726,"   ",1.45978908075219,2,0.48195981471098,"   ","wetwSMs <= SPD|clim"
"decSMs","SPD",0.149154992435615,2,22,0.862299341357073,"   ",0.29830998487123,2,0.861435588551444,"   ","decSMs <= SPD"
"decSMs","clim",3.49263577101405,2,22,0.048161320117117,"*  ",6.98527154202809,2,0.0304205847126053,"*  ","decSMs <= clim"
"decSMs","SPD|clim",2.16311922911166,4,22,0.10686754703724,"   ",8.65247691644665,4,0.0703978047132469,".  ","decSMs <= SPD|clim"
"conSMs","SPD",0.893542029718895,1,26,0.353221774591778,"   ",0.893542029718895,1,0.344519253056016,"   ","conSMs <= SPD"
"conSMs","clim",0.454307925041328,1,26,0.506245078129628,"   ",0.454307925041328,1,0.500296257120574,"   ","conSMs <= clim"
"conSMs","SPD|clim",0.691406453458885,2,26,0.509845693380939,"   ",1.38281290691777,2,0.500871121522984,"   ","conSMs <= SPD|clim"
