"Region","LCC","Causality","F","P","Coef.","data"
"Central","Arable","SPD",8.024,0.01,38.675,"After"
"Central","Arable","SPD|clim",5.028,0.02,21.379,"After"
"Central","Coniferous woodland","clim",4.345,0.05,18.9,"After"
"Central","Pasture","clim",2.635,0.1,27.073,"After"
"Central","Pasture","SPD",3.14,0.07,32.263,"After"
"Central","Pasture","SPD|clim",2.866,0.06,-0.434,"After"
"Central","Wet meadow","SPD",4.825,0.04,19.436,"After"
"Midwest","Arable","SPD",4.523,0.05,18.27,"After"
"Midwest","Wet meadow","clim",4.352,0.03,10.351,"After"
"Midwest","Wet meadow","SPD|clim",3.114,0.04,-3.294,"After"
"North","Wet woodland","SPD",5.785,0.05,49.044,"After"
"Southeast","Heathland","SPD",12.416,0,29.028,"After"
"Southeast","Heathland","SPD|clim",6.387,0,0.513,"After"
"Southeast","Wet meadow","SPD",3.458,0.05,3.041,"After"
"Southmid","Wet meadow","SPD",3.034,0.06,8.689,"After"
"Southwest","Wet meadow","clim",4.903,0.03,8.938,"After"
"Southwest","Wet meadow","SPD|clim",3.43,0.04,-0.766,"After"
"Southwest","Wet woodland","SPD",6.769,0.01,12.32,"After"
"Southwest","Wet woodland","SPD|clim",3.473,0.04,-0.455,"After"
"Central","Arable","clim",4.209,0.05,8.257,"Before"
"Central","Coniferous woodland","clim",9.167,0,7.402,"Before"
"Central","Coniferous woodland","SPD",9.485,0,8.619,"Before"
"Central","Coniferous woodland","SPD|clim",5.623,0.01,11.75,"Before"
"Central","Deciduous woodland","SPD",4.187,0.05,7.035,"Before"
"Central","Wet woodland","SPD|clim",4.986,0.01,5.908,"Before"
"Midwest","Heathland","clim",3.194,0.05,9.692,"Before"
"Midwest","Heathland","SPD|clim",3.977,0.01,9.846,"Before"
"Midwest","Wet meadow","SPD",2.712,0.06,14.644,"Before"
"Midwest","Wet woodland","clim",4.091,0.05,7.008,"Before"
"North","Wet woodland","SPD|clim",2.86,0.03,0.927,"Before"
"Southeast","Heathland","clim",3.111,0.05,6.006,"Before"
"Southmid","Coniferous woodland","SPD",5.639,0.03,17.719,"Before"
"Southmid","Heathland","clim",5.094,0.03,19.254,"Before"
"Southmid","Wet meadow","SPD",3.689,0.04,4.348,"Before"
"Southmid","Wet woodland","SPD",13.112,0,22.78,"Before"
"Southmid","Wet woodland","SPD|clim",6.671,0,11.45,"Before"
"Southwest","Coniferous woodland","SPD|clim",3.037,0.07,9.844,"Before"
"Central","Arable","SPD",3.863,0.01,17.511,"All"
"Central","Arable","SPD|clim",2.656,0.01,1.252,"All"
"Central","Deciduous woodland","SPD",3.382,0.01,20.229,"All"
"Central","Deciduous woodland","SPD|clim",2.06,0.04,-7.807,"All"
"Central","Heathland","SPD|clim",2.065,0.05,3.313,"All"
"Central","Pasture","SPD",4.57,0.01,15.056,"All"
"Central","Pasture","SPD|clim",3.343,0.01,2.655,"All"
"Midwest","Arable","SPD|clim",3.104,0.05,2.792,"All"
"Midwest","Pasture","SPD",5.208,0,16.617,"All"
"Midwest","Pasture","SPD|clim",3.839,0,0.737,"All"
"Southeast","Coniferous woodland","clim",8.286,0.01,9.28,"All"
"Southeast","Coniferous woodland","SPD|clim",4.146,0.02,-0.573,"All"
"Southeast","Heathland","SPD",19.145,0,19.093,"All"
"Southeast","Heathland","SPD|clim",9.636,0,0.127,"All"
"Southeast","Pasture","SPD",7.679,0.01,8.409,"All"
"Southeast","Pasture","SPD|clim",5.163,0.01,2.535,"All"
"Southeast","Wet meadow","clim",4.416,0.04,4.972,"All"
"Southeast","Wet meadow","SPD|clim",3.905,0.02,2.258,"All"
"Southmid","Arable","SPD",2.805,0.05,11.458,"All"
"Southmid","Pasture","SPD",5.671,0.02,6.229,"All"
"Southmid","Pasture","SPD|clim",10.018,0,15.644,"All"
"Southwest","Arable","SPD",4.605,0.01,16.038,"All"
"Southwest","Arable","SPD|clim",2.522,0.03,0.802,"All"
"Southwest","Deciduous woodland","clim",6.81,0.01,7.636,"All"
"Southwest","Deciduous woodland","SPD",8.944,0,10.029,"All"
"Southwest","Deciduous woodland","SPD|clim",5.089,0.01,-6.251,"All"
