"","Region","LCC","Causality","F","P","R2"
"1","Central","Arable","SPD",7.381,0.01,44.024
"2","Central","Arable","SPD|clim",4.018,0.03,15.574
"3","Central","Coniferous woodland","clim",7.228,0.01,9.329
"4","Central","Coniferous woodland","SPD|clim",4.636,0.02,2.911
"5","Central","Heathland","SPD",7.611,0.01,52.294
"6","Central","Heathland","SPD|clim",3.856,0.04,15.791
"7","Central","Pasture","SPD",5.665,0.03,48.732
"8","Midwest","Wet meadow","clim",4.599,0.04,24.747
"9","Midwest","Wet meadow","SPD|clim",4.884,0.02,-0.71
"10","Midwest","Wet woodland","clim",5.6,0.02,0.005
"11","Midwest","Wet woodland","SPD",9.429,0,10.444
"12","Midwest","Wet woodland","SPD|clim",7.404,0.01,0.563
"13","Southeast","Coniferous woodland","clim",6.582,0,47.371
"14","Southeast","Coniferous woodland","SPD",3.371,0.03,24.258
"15","Southeast","Coniferous woodland","SPD|clim",4.698,0,-4.014
"16","Southeast","Heathland","SPD",10.543,0,25.48
"17","Southeast","Heathland","SPD|clim",5.689,0.01,1.456
"18","Southmid","Arable","SPD",3.739,0.03,16.282
"19","Southmid","Arable","SPD|clim",2.599,0.05,1.114
"20","Southmid","Coniferous woodland","SPD",10.22,0,20.315
"21","Southmid","Coniferous woodland","SPD|clim",5.154,0.01,-2.464
"22","Southmid","Deciduous woodland","SPD",6.132,0.02,13.22
"23","Southmid","Deciduous woodland","SPD|clim",3.193,0.05,0.316
"24","Southmid","Pasture","clim",7.074,0.01,13.65
"25","Southmid","Pasture","SPD",5.685,0.02,10.969
"26","Southmid","Pasture","SPD|clim",5.912,0.01,-1.804
"27","Southmid","Wet meadow","SPD",9.039,0,18.395
"28","Southmid","Wet meadow","SPD|clim",4.568,0.02,-0.068
"29","Southwest","Deciduous woodland","SPD",3.873,0.05,7.4
"30","Southwest","Wet meadow","clim",4.021,0.05,7.365
"31","Southwest","Wet meadow","SPD|clim",3.3,0.05,-0.881
"32","Southwest","Wet woodland","SPD",7.696,0.01,13.762
"33","Southwest","Wet woodland","SPD|clim",3.96,0.03,-0.633
