"","Region","LCC","Causality","F","P","Coef."
"1","Central","Arable","SPD",4.384,0,19.395
"2","Central","Arable","SPD|clim",2.927,0.01,2.527
"3","Central","Deciduous woodland","SPD",3.869,0.01,18.605
"4","Central","Deciduous woodland","SPD|clim",2.023,0.06,-5.726
"5","Central","Heathland","SPD",3.165,0.01,22.358
"6","Central","Heathland","SPD|clim",2.161,0.03,4.775
"7","Central","Pasture","SPD",7.564,0,22.678
"8","Central","Pasture","SPD|clim",4.844,0,1.142
"9","Midwest","Arable","SPD|clim",3.834,0.03,4.772
"10","Midwest","Wet woodland","clim",3.833,0.03,8.98
"11","Midwest","Wet woodland","SPD|clim",2.59,0.04,0.256
"12","Southeast","Coniferous woodland","clim",7.565,0,27.882
"13","Southeast","Coniferous woodland","SPD",4.425,0,16.31
"14","Southeast","Coniferous woodland","SPD|clim",4.941,0,-7.769
"15","Southeast","Deciduous woodland","clim",2.181,0.06,16.448
"16","Southeast","Heathland","SPD",17.875,0,18.064
"17","Southeast","Heathland","SPD|clim",8.977,0,-0.181
"18","Southeast","Pasture","SPD",8.204,0.01,8.977
"19","Southeast","Pasture","SPD|clim",5.194,0.01,2.187
"20","Southmid","Arable","SPD",3.991,0.01,15.46
"21","Southmid","Arable","SPD|clim",2.407,0.04,0.926
"22","Southmid","Deciduous woodland","clim",3.871,0.05,4.839
"23","Southmid","Deciduous woodland","SPD",8.836,0,11.046
"24","Southmid","Deciduous woodland","SPD|clim",4.495,0.01,-4.646
"25","Southmid","Pasture","SPD",4.115,0.05,5.127
"26","Southmid","Pasture","SPD|clim",4.637,0.01,6.424
"27","Southmid","Wet meadow","SPD",7.395,0.01,9.351
"28","Southmid","Wet meadow","SPD|clim",4.038,0.02,-1.298
"29","Southwest","Arable","SPD",5.096,0,17.426
"30","Southwest","Arable","SPD|clim",2.789,0.02,0.989
"31","Southwest","Deciduous woodland","clim",8.981,0,10.016
"32","Southwest","Deciduous woodland","SPD",7.764,0.01,8.659
"33","Southwest","Deciduous woodland","SPD|clim",5.334,0.01,-6.777
