"","Region","LCC","Causality","F","P","R2"
"1","Central","Arable","clim",4.227,0.04,7.136
"2","Central","Coniferous woodland","clim",8.25,0.01,9.061
"3","Central","Coniferous woodland","SPD",8.071,0.01,9.781
"4","Central","Coniferous woodland","SPD|clim",4.853,0.01,6.373
"5","Central","Deciduous woodland","SPD",5.834,0.02,7.726
"6","Midwest","Heathland","clim",3.585,0.04,11.017
"7","Midwest","Heathland","SPD|clim",3.771,0.01,9.727
"8","Midwest","Wet meadow","SPD",3.324,0.01,28.438
"9","Midwest","Wet meadow","SPD|clim",2.045,0.06,0.05
"10","North","Wet woodland","clim",3.591,0.03,4.483
"11","North","Wet woodland","SPD|clim",3.2,0.02,1.155
"12","Southmid","Deciduous woodland","clim",3.493,0.05,3.444
"13","Southmid","Heathland","clim",4.831,0.04,22.349
"14","Southmid","Pasture","clim",5.554,0.01,27.637
"15","Southmid","Pasture","SPD|clim",3.855,0.02,-5.139
"16","Southwest","Coniferous woodland","SPD|clim",5.037,0.01,13.927
"17","Southwest","Deciduous woodland","SPD|clim",3.401,0.05,12.679
