"","name","mean","lower","upper","Rhat","n.eff","BF","ID","CP_N"
"6","cp_1",1244.69638218801,1200.00973982049,1299.97740464914,1.01375679812345,8175,27.4971087443655,"SPD",4
"7","cp_2",1351.22718752683,1303.78189372789,1399.59858689363,1.00126189947448,91906,109.717484193229,"SPD",4
"8","cp_3",1560.36025604686,1501.30980178615,1599.74476155193,1.02578883201241,1164,455.088272836241,"SPD",4
"9","cp_4",2855.88611158949,2700.00251505927,3069.04595285766,1.00069603042692,28212,124.711088217832,"SPD",4
"71","cp_1",2143.1309527348,1069.56491217427,2900.00353951703,1.02619180103478,588,0.239694250328361,"clim",5
"81","cp_2",3441.9245315557,1800.01618466781,6026.27249717872,1.00874282941254,108,0.153560373337973,"clim",5
"91","cp_3",5551.83599726933,2539.06183613483,6800.25308074582,1.06856663903495,221,1.39937498669119,"clim",5
"10","cp_4",6462.7830968574,6000.00046253612,7971.05354480721,1.01435072472001,401,0.402146910119953,"clim",5
"11","cp_5",7984.77885143381,7799.71567716415,8238.51613078604,1.04483179266763,1995,44.3762606942627,"clim",5
"72","cp_1",2817.59488430312,1138.8957583913,3899.97785942164,1.00047542634307,78,0.0503166100017982,"conMMs",5
"82","cp_2",3781.14743462995,3200.01008309204,4425.82644293915,1.00686629592376,116,9.9541176577603,"conMMs",5
"92","cp_3",4403.57388232719,3742.7800937249,5699.99797380664,1.00936553275296,231,0.341026001815416,"conMMs",5
"101","cp_4",5695.06678923772,4000.02951429976,7653.57232702722,1.02242537119412,482,15.4255501013649,"conMMs",5
"111","cp_5",7319.07650599394,5600.44096938941,7899.77369797251,1.02327454653758,484,0.696391261100102,"conMMs",5
"73","cp_1",2622.21776163266,2300.00025981628,3733.5632174673,1.00837927547792,3235,2.42736271146861,"decMMs",5
"83","cp_2",3947.07496584699,3700.16491785839,4174.71190129448,1.05473507933204,1811,8.63927083639215,"decMMs",5
"93","cp_3",5499.57592268558,4091.69273075782,8399.84296725973,1.04418536070984,197,1.60737170487894,"decMMs",5
"102","cp_4",7349.50620997316,5500.06112155844,8663.78646329402,1.00667508413517,62,0.941447591108928,"decMMs",5
"112","cp_5",8497.06260747718,8018.04229676018,8999.99796578496,1.0058882331891,868,3.8336930037331,"decMMs",5
"74","cp_1",2060.40099307943,924.735586497454,3099.99710728309,1.01737055209,2134,1.17021893992379,"wetwMMs",5
"84","cp_2",3695.82453083016,1502.85363483881,4499.24986610084,1.0399598284108,230,0.174491450330726,"wetwMMs",5
"94","cp_3",5751.3472978228,3995.69350758038,7199.99625916136,1.04816168966556,62,0.0611286703737329,"wetwMMs",5
"103","cp_4",7683.39497574933,6854.70104794212,8999.99822375635,1.03003727633747,88,0.530404475311045,"wetwMMs",5
"113","cp_5",8730.32197329627,7115.82856530417,8999.99999256844,1.05240041066373,293,6.91037336580711,"wetwMMs",5
"61","cp_1",1807.97070906598,1398.07256884757,2984.91274428527,1.0065202461669,304,0.0471968518200839,"wetmMMs",4
"75","cp_2",4035.22160757252,3732.31386040658,4199.99990282096,1.00284423147417,2848,8.76633630474256,"wetmMMs",4
"85","cp_3",5678.70816258591,5500.00737895152,5898.17560924629,1.00848950216669,2784,39.3933791844668,"wetmMMs",4
"95","cp_4",7494.07355209315,7396.51617206701,7699.88915250738,1.00136623884567,11105,28.9023717112009,"wetmMMs",4
"62","cp_1",2540.07184477213,1900.32031757948,3165.75130257458,1.04793874618326,2599,9.13852330189936,"pasMMs",4
"76","cp_2",3792.21063541444,2448.68765665905,4199.99619409449,1.07347475686987,290,0.295702574750801,"pasMMs",4
"86","cp_3",6982.12832066786,3948.09415231651,7999.99981413128,1.03386888511149,140,0.258835507575681,"pasMMs",4
"96","cp_4",8234.8751773932,7878.55225095113,8600.260041041,1.01532900992099,913,1.41469296591398,"pasMMs",4
"77","cp_1",796.784826217107,700.585240670375,890.24468970032,1.00050808864904,6650,13.7373811946858,"araMMs",5
"87","cp_2",1896.47900744908,1700.60779802958,2000.00102717936,1.0000137563389,141934,19.707257163917,"araMMs",5
"97","cp_3",3771.34490629572,3700.00025209493,3877.16353960259,1.00010340922716,65189,39.0455936314033,"araMMs",5
"104","cp_4",5058.36868619113,5000.00003223148,5153.97019712887,1.00006173469817,160876,55.4604391192128,"araMMs",5
"114","cp_5",5949.2060409171,5900.01221818809,5995.31017291969,1.00000857353653,329569,69.8727878322628,"araMMs",5
"78","cp_1",854.286381783676,800.000333367556,964.013659838137,1.01403777646502,37273,20.6491878387096,"heaMMs",5
"88","cp_2",1598.58778766432,1300.00742237034,2273.67770593359,1.0203537606614,196,0.0853923796008606,"heaMMs",5
"98","cp_3",3193.08044678124,1896.5265902213,7374.12788719172,1.03413983793254,80,0.0282124517857281,"heaMMs",5
"105","cp_4",6690.59963776473,5100.1902270435,8053.98224973325,1.00627001717506,834,0.595979038517586,"heaMMs",5
"115","cp_5",8082.83601600493,7808.34824291465,8499.70414645942,1.00721628812992,355,0.376954035205939,"heaMMs",5
