"","name","mean","lower","upper","Rhat","n.eff","BF","ID","CP_N"
"6","cp_1",750.37900338938,705.004770102729,799.912828314473,1.00000800887203,410368,39.3719451280351,"SPD",4
"7","cp_2",850.358965040376,804.669922559416,899.592516510706,1.00000427475683,283255,461.798603935961,"SPD",4
"8","cp_3",1697.66341736259,1600.00011638948,1810.30657343408,1.00055151728864,16360,183.693639793089,"SPD",4
"9","cp_4",2849.56112469174,2800.00323397295,2895.49599424881,1.00001921674341,339146,276.804429509106,"SPD",4
"71","cp_1",2299.58245059448,759.883446335927,4900.0430514417,1.03646454657471,344,0.120417900101389,"clim",5
"81","cp_2",3625.41377434081,1782.31997932372,6148.12078181746,1.02798590674121,83,0.06399798079637,"clim",5
"91","cp_3",5381.65916576344,2435.1582697921,7100.31790892545,1.0326877329238,104,0.291114850657334,"clim",5
"10","cp_4",6629.58020000663,5954.86243824708,7999.99984804577,1.00579966738368,399,1.97973786230445,"clim",5
"11","cp_5",7991.6677403056,7762.94427811996,8395.55600685146,1.01693910279912,2173,43.4535710930191,"clim",5
"72","cp_1",2828.69873541216,2172.89724831407,2999.99965909402,1.01105249942853,1067,10.8633348281663,"conMWs",5
"82","cp_2",3447.58773022181,2900.00163777566,3974.77824872788,1.03215604531971,269,0.140566124122015,"conMWs",5
"92","cp_3",3978.73707473127,2863.18644625285,4268.77202979151,1.08279098656886,181,9.98642962771181,"conMWs",5
"101","cp_4",5311.58952633794,3900.06317667746,7306.66183874285,1.01440651249625,184,0.067687738165706,"conMWs",5
"111","cp_5",7335.87491141441,7020.80569542613,7499.88673665876,1.00790565479975,2612,26.1635560575555,"conMWs",5
"73","cp_1",2960.95949034023,2900.00011785327,3057.90197921422,1.00030698618004,92663,51.5692313658541,"decMWs",5
"83","cp_2",4033.35251933163,3899.98734117943,4199.78750281319,1.03849415153186,7835,41.5790658354999,"decMWs",5
"93","cp_3",5694.02300154,5516.75859784335,5799.99829275378,1.00028218318945,5222,9.09377899089101,"decMWs",5
"102","cp_4",6455.04170806801,6401.17377325045,6499.99883756101,1.05167566660855,15837,63.4530958295481,"decMWs",5
"112","cp_5",8117.03758107173,8000.0006089438,8421.2240534826,1.00248386167348,6747,3.38072161493599,"decMWs",5
"61","cp_1",3023.03876782771,2900.00013481206,3187.46355260836,1.00001897099204,48037,6.66516954807089,"wetwMWs",4
"74","cp_2",4040.02966135296,3922.04955494097,4099.99668768699,1.0002350556412,80744,48.8910914172024,"wetwMWs",4
"84","cp_3",6029.45091433024,5924.00662178436,6099.99998181198,1.00004959300328,103160,53.8948807242461,"wetwMWs",4
"94","cp_4",7950.38320266921,7904.36561381617,7999.98352144353,1.00359348145527,89298,48.0237645512755,"wetwMWs",4
"75","cp_1",2148.65261460281,2100.26733844675,2199.15702192164,1.01172523130269,7468,32.6038584971541,"wetmMWs",5
"85","cp_2",2569.93347427624,2323.66194586897,2924.23085977841,1.00136520248438,1038,4.21278032796034,"wetmMWs",5
"95","cp_3",3336.52623750157,3200.001148185,3473.2050824282,1.00016379578714,3549,24.5033510527077,"wetmMWs",5
"103","cp_4",4139.00531156171,4000.00351936664,4281.87583831199,1.00010176901627,156193,28.7406146099556,"wetmMWs",5
"113","cp_5",6249.6355138009,6200.10143029421,6298.21514663581,1.00010358831801,114588,65.0308008619032,"wetmMWs",5
"76","cp_1",850.142319160325,801.584163139721,897.168635257598,1.00007170071678,166291,22.5782704746765,"pasMWs",5
"86","cp_2",1336.83364288958,1258.7449655938,1399.99980851296,1.01154101194752,1470,68.1167653678293,"pasMWs",5
"96","cp_3",2821.92370463703,1903.30576180094,4268.07734584308,1.01345643456308,468,0.27230876579435,"pasMWs",5
"104","cp_4",4445.77615642904,4000.0006918978,8364.43783898558,1.06813802980553,167,0.131838270078092,"pasMWs",5
"114","cp_5",8321.9500254545,6600.07876205214,8616.16165954301,1.06222527119543,456,0.334558876261799,"pasMWs",5
"5","cp_1",3937.25767501507,3625.58777308625,4199.99789089044,1.00832072888907,23421,40.3415286856957,"araMWs",3
"62","cp_2",8000.9436771378,7349.05786689257,8299.99990422096,1.04981016279817,257,0.0287084256843182,"araMWs",3
"77","cp_3",8453.99170439553,8209.71563100186,8599.99147285261,1.04632546289184,119,0.161944772639953,"araMWs",3
"63","cp_1",1788.15175701371,1600.00033163329,1950.52096505434,1.00379809907398,5040,11.7479029644557,"heaMWs",4
"78","cp_2",2909.88522612774,2809.11623034796,2999.99876617927,1.00065710799337,26435,29.5185631546662,"heaMWs",4
"87","cp_3",3989.2751910854,3900.00018402779,4147.31916229933,1.00392040664459,5829,53.8064923914674,"heaMWs",4
"97","cp_4",8367.53534681572,8239.69255030617,8499.99835163741,1.00324149141154,5325,22.662439903513,"heaMWs",4
