"","name","mean","lower","upper","Rhat","n.eff","BF","ID","CP_N"
"7","cp_1",1630.91943712891,1400.07296138946,2000.24860307611,1.01720456371134,225,0.8162048115026,"SPD",5
"8","cp_2",2010.22812778496,1519.68960335352,2399.99856636308,1.02796389705866,356,1.49540667253451,"SPD",5
"9","cp_3",2456.2171304674,1915.87969165767,3494.36078792399,1.02109201695942,158,8.10916563932252,"SPD",5
"10","cp_4",3043.70697124978,2300.00015399549,4078.42374754926,1.01050673923081,622,2.44621656186333,"SPD",5
"11","cp_5",3929.05037818493,3400.00014756026,6346.93443897475,1.02820793308764,160,10.813816748881,"SPD",5
"71","cp_1",2170.45735985607,1786.18237651714,2799.97006566139,1.01669344105262,473,0.120360477194315,"clim",5
"81","cp_2",3427.77475614701,2600.00003344188,5854.7050977992,1.02351708644362,111,0.0688095824004997,"clim",5
"91","cp_3",5787.47367560442,5566.35483704516,6100.01052191126,1.07440207753754,847,20.1529940641535,"clim",5
"101","cp_4",6340.3919268443,6000.00001895865,7938.5442909634,1.0211643220136,253,0.174836028545395,"clim",5
"111","cp_5",7982.29512091896,7748.37061396601,8243.93157419165,1.0014179943235,1123,41.464096956556,"clim",5
"72","cp_1",2406.40984845949,1400.00397537069,2996.92440762707,1.00673577147448,1609,3.14543355261902,"conNs",5
"82","cp_2",4284.18067345058,2462.99859507898,5299.99984339849,1.0120132281966,247,1.38222534969714,"conNs",5
"92","cp_3",5506.03126936197,5145.02488390141,6199.99323324641,1.0693224169644,256,0.19011870435316,"conNs",5
"102","cp_4",6199.0010049065,5800.00524165595,7085.81145647412,1.00764888798388,665,7.63138151051125,"conNs",5
"112","cp_5",7102.09968581924,6900.00133684272,7564.46763112015,1.00284808849187,560,12.4487040518974,"conNs",5
"73","cp_1",2700.005818484,1637.90224875198,3199.93062840913,1.03980954439516,662,2.08638874127262,"decNs",5
"83","cp_2",4210.12340305687,2650.63802710305,6260.56812657816,1.09049181242536,100,0.38931297854219,"decNs",5
"93","cp_3",5826.91185734545,2988.21885058368,6899.8746314642,1.05155181410071,59,0.373692664226077,"decNs",5
"103","cp_4",6672.61690852549,6058.68634064705,7147.28184788935,1.01569604682024,163,0.330698405852449,"decNs",5
"113","cp_5",7028.21781900187,6800.01267556941,7281.78952256667,1.0101082564072,2270,12.9065437338082,"decNs",5
"74","cp_1",4282.31921290857,2298.07464464008,5300.36349359038,1.01541423468074,801,0.412622931978157,"wetwNs",5
"84","cp_2",5862.02383669554,5142.40380851725,7299.99980025847,1.03484137493795,214,0.661913630468652,"wetwNs",5
"94","cp_3",7381.05933132936,7102.6698366447,7999.99996443173,1.03244082262553,289,2.75753466286717,"wetwNs",5
"104","cp_4",7972.1434249716,7900.00009174697,8138.94790830605,1.02135788874175,1668,54.5391056906118,"wetwNs",5
"114","cp_5",8154.32936469783,7985.85109243031,8535.83975316539,1.01469763826707,7514,23.8150763457791,"wetwNs",5
"6","cp_1",2875.1837409482,2387.398872135,3795.29357301391,1.02158027288877,743,1.21058905117876,"wetmNs",4
"75","cp_2",4430.5017761299,2952.48367581984,5899.99914869175,1.03816781479714,183,0.124419815665341,"wetmNs",4
"85","cp_3",6252.37962367742,5800.00067161535,7652.34498507127,1.02257408742119,94,0.0761894043458953,"wetmNs",4
"95","cp_4",7692.76722838073,6800.08964073339,8879.75907977167,1.01368867247569,383,13.7967576060321,"wetmNs",4
"76","cp_1",1650.4711572264,1604.8679326642,1699.88465646791,1.0000032715331,165698,20.3558493278779,"pasNs",5
"86","cp_2",4104.07920804921,3682.41037193557,4387.21260823903,1.00132678976794,11368,22.2321327396076,"pasNs",5
"96","cp_3",5861.67094517755,5700.00877981324,5972.56290496718,1.06017751446344,1370,55.5200314417183,"pasNs",5
"105","cp_4",6907.09346581767,6807.92461035879,6999.9444215473,1.02260279139627,8011,32.9577961266375,"pasNs",5
"115","cp_5",8125.84546914367,7235.88605314845,8499.94274916173,1.00363430540244,2918,2.12003024397469,"pasNs",5
"77","cp_1",1449.57263470295,1400.14345022607,1495.03378197537,1.00202185124791,106128,26.630658376333,"araNs",5
"87","cp_2",1767.77529202842,1488.46347554504,1899.99835918242,1.00032700544868,2985,12.7954369746332,"araNs",5
"97","cp_3",2049.80004006772,1799.97292283286,2385.85284712137,1.01098620409635,1650,21.4859675315403,"araNs",5
"106","cp_4",2408.72647273145,1877.17846555747,2700.04952631566,1.07477246728258,363,57.6478307538279,"araNs",5
"116","cp_5",2887.69050509756,2399.99762909952,5556.47376796783,1.02256426958447,895,11.58694807558,"araNs",5
"78","cp_1",1650.53012594625,1604.56487945581,1699.75434466361,1.00000824169498,350585,20.4366858283683,"heaNs",5
"88","cp_2",3750.70385724445,3699.83127907086,3897.48656453788,1.00001305700195,164333,35.2977378002361,"heaNs",5
"98","cp_3",4961.94112896045,4600.00003217036,5508.90188903237,1.00021275383983,2841,4.56005059204851,"heaNs",5
"107","cp_4",6830.37488786563,6528.81849417315,6999.99778741596,1.00017396582079,3902,10.6390164909594,"heaNs",5
"117","cp_5",7528.07251593522,7200.50166187089,7761.6467379705,1.00075013729155,5050,14.7577646502316,"heaNs",5
