"","name","mean","lower","upper","Rhat","n.eff","BF","ID","CP_N"
"7","cp_1",1253.10829974144,651.081022753908,1499.99894985215,1.00190215884513,619,0.0553834458682492,"SPD",5
"8","cp_2",1996.51147726139,1312.28576826142,2399.99245361565,1.00413146406239,163,0.220736245757963,"SPD",5
"9","cp_3",2750.49747655179,2190.39529722112,2999.99969272268,1.03074266594418,155,0.158660751035477,"SPD",5
"10","cp_4",4529.23636068443,2901.54978119831,5599.99982594372,1.00112201112035,92,0.498837163906155,"SPD",5
"11","cp_5",6381.8563510528,5404.25315761172,7238.35976090117,1.00292126194796,161,0.0625136705047102,"SPD",5
"71","cp_1",2669.42447974657,1245.96264534804,6199.97851708195,1.04039217578039,756,20.6268843093116,"clim",5
"81","cp_2",4607.07363036519,2450.41571333749,7999.99485355185,1.00381008908803,372,0.315713754714621,"clim",5
"91","cp_3",6220.12785646351,2422.0158444142,8091.27601017803,1.01689149453678,310,4.60586842626664,"clim",5
"101","cp_4",7476.56741801856,6000.00097711807,8877.91135162103,1.02813665010514,328,0.305985669835911,"clim",5
"111","cp_5",8395.48888560322,7800.01963543951,8929.30502280063,1.00116938107248,816,0.258832211050122,"clim",5
"72","cp_1",1351.63586559341,679.678379259251,1699.98735275182,1.01404540714079,181,0.345194775491305,"conSEs",5
"82","cp_2",1970.94787759938,1526.08043754511,2099.99992308619,1.05204685332083,160,0.311937075605642,"conSEs",5
"92","cp_3",3536.93856755344,2000.00676101072,4682.45684064923,1.03548249423143,39,0.133821036783471,"conSEs",5
"102","cp_4",5109.38669894765,4400.33852943681,7121.89883142674,1.01749593944155,468,1.13906043345644,"conSEs",5
"112","cp_5",6934.04951633036,5816.1745648784,8999.98159313129,1.00289108781107,613,8.98853434952181,"conSEs",5
"73","cp_1",1894.92821867107,1036.12504783148,3266.0056155418,1.00364352980974,462,3.79224220150829,"decSEs",5
"83","cp_2",3354.78002863208,1390.04999463388,4399.99986157343,1.01967991312646,190,2.3610948808635,"decSEs",5
"93","cp_3",4227.47061288399,2993.41539467353,4675.23644465988,1.04246441634304,185,3.45364962724367,"decSEs",5
"103","cp_4",4858.39789134251,4200.01895013219,6380.20292955632,1.04264077601824,433,0.362020258999965,"decSEs",5
"113","cp_5",5906.46482052289,4460.83716179653,7999.99227353711,1.03368621915423,605,6.74387878732382,"decSEs",5
"5","cp_1",3768.29863518142,1795.08634121796,4399.99943938941,1.00156853957382,265,0.388917045432871,"wetwSEs",3
"6","cp_2",6108.7024761065,4200.00663776449,7759.76095557265,1.00110651565807,77,0.0900624161883224,"wetwSEs",3
"74","cp_3",8143.20733351249,7404.39938189686,8899.99659101302,1.00651256729862,350,0.181309146331475,"wetwSEs",3
"75","cp_1",1212.52043283802,1102.05790944952,1299.99943494083,1.01770177628255,8012,16.1900913469605,"wetmSEs",5
"84","cp_2",2437.41198395785,1251.21138742246,2699.92987909355,1.0105941157561,475,1.80450635398392,"wetmSEs",5
"94","cp_3",3532.81106146229,2501.61117789753,4799.23965026906,1.0381311877418,146,0.144343223022567,"wetmSEs",5
"104","cp_4",5116.08769968427,4500.07309855646,8011.22989894982,1.05401201816259,204,0.182618867577698,"wetmSEs",5
"114","cp_5",8024.68983396486,7804.795845557,8199.97167243074,1.00307539204466,4517,21.9862157375553,"wetmSEs",5
"76","cp_1",1317.88235156554,1079.03146264358,1499.99996892114,1.01284265593897,475,23.0526047020335,"pasSEs",5
"85","cp_2",3995.59327970332,1300.0023337515,6680.67378319638,1.00535967111647,1085,1.34441914433393,"pasSEs",5
"95","cp_3",7116.76732763783,4195.61272301724,8684.54485351794,1.00264777000701,390,0.44292783340482,"pasSEs",5
"105","cp_4",8659.85187588122,8500.00003187096,8856.82715124017,1.00409577881102,1017,1.09485591235155,"pasSEs",5
"115","cp_5",8854.55364595987,8802.06547912964,8899.99945534764,1.00240941869758,21825,19.5094976974684,"pasSEs",5
"77","cp_1",650.328919396429,604.713312886711,699.648008854944,0.999999542034534,407434,23.2249533212447,"araSEs",5
"86","cp_2",750.330612518526,705.047552839022,799.918752109368,1.00000033180776,409902,192.833940492247,"araSEs",5
"96","cp_3",850.268904575887,803.935459269119,898.87074976955,1.00000329024066,407185,1408.14439380972,"araSEs",5
"106","cp_4",950.284682504648,903.311858209147,998.310391227211,1.00000085416685,332326,9417.60027029475,"araSEs",5
"116","cp_5",1356.63405082471,1300.00022809498,1418.44902565637,1.06055863416919,134862,13559.9061759799,"araSEs",5
"51","cp_1",1250.01574847667,1201.83830755375,1296.83949128286,1.00000045501356,310958,38.0493452947697,"heaSEs",3
"61","cp_2",2251.75854425543,1621.95108775061,2499.99984151884,1.00094501179021,91,1.2062338356185,"heaSEs",3
"78","cp_3",2999.39864841856,2400.00096246249,3852.5420074737,1.02697087856268,1796,19.2552119295672,"heaSEs",3
