"","name","mean","lower","upper","Rhat","n.eff","BF","ID","CP_N"
"7","cp_1",2387.2259743623,2100.01167560133,3439.32742751441,1.0500120527028,577,20.5428982378445,"SPD",5
"8","cp_2",3337.18604353725,2300.01883122665,3561.59138205678,1.03929781308377,263,0.292137136585481,"SPD",5
"9","cp_3",4256.77513055037,3400.00092667002,5397.34905946333,1.01386675654596,865,1.26596569868201,"SPD",5
"10","cp_4",5405.34893561086,3999.8740669723,5913.86523872772,1.01561849718493,507,0.395292606682332,"SPD",5
"11","cp_5",5920.24881550391,5600.00391726603,6144.00397173276,1.01317581729011,1162,14.1259631719209,"SPD",5
"71","cp_1",1981.85520639825,1400.00008404418,3362.35017304528,1.08327542034498,105,0.442180169792119,"clim",5
"81","cp_2",3024.30299766817,1689.06681952685,7286.21729763483,1.04051051255652,44,0.19472936053427,"clim",5
"91","cp_3",4342.62587665669,2411.2063538235,7999.99785427402,1.01189673536515,43,0.0276110971409685,"clim",5
"101","cp_4",6740.96273788012,5431.44455579329,8999.9995925041,1.0265830132915,244,2.61488515097042,"clim",5
"111","cp_5",8044.16917363559,7899.94978610876,8937.41981076582,1.03825613580968,1003,0.732237893304908,"clim",5
"72","cp_1",3530.15921041786,1654.30714161084,4099.98676308518,1.009070624436,1008,1.51645024345905,"conSMs",5
"82","cp_2",5446.03327078111,3599.87085889326,6727.16343826514,1.00257370271008,313,0.42869117632407,"conSMs",5
"92","cp_3",6801.577744003,5936.38341799862,7691.90992920761,1.00213102903061,563,1.34298713729614,"conSMs",5
"102","cp_4",7571.9909290781,7407.69469219676,7699.99859687368,1.00385764940041,1723,18.1322285815674,"conSMs",5
"112","cp_5",8368.6353369003,8300.00046401125,8543.46043884242,1.00023444474114,1334,34.3843902322486,"conSMs",5
"6","cp_1",1858.91797894485,1600.32703189002,2023.57612020119,1.03384530473925,6282,22.4731235909716,"decSMs",4
"73","cp_2",5121.31285455533,3700.0021707458,6449.9767886084,1.02956386418819,267,0.114654174203338,"decSMs",4
"83","cp_3",7592.79758646962,6531.36719300079,8262.13230270302,1.08806475438679,309,4.51056529105136,"decSMs",4
"93","cp_4",8404.21160736584,7645.38082889654,8999.99835762153,1.02595555476413,666,5.4878809883621,"decSMs",4
"74","cp_1",1778.68698657624,1700.00034629587,1886.63094620997,1.00014236882125,54081,14.4643556056819,"wetwSMs",5
"84","cp_2",3447.93193004629,1796.68070252583,5299.84030436999,1.00312804593379,786,17.4221768217071,"wetwSMs",5
"94","cp_3",6588.89041268155,3400.01405835218,8271.57876997825,1.02727554679332,352,0.771028280041278,"wetwSMs",5
"103","cp_4",8210.63434743682,7329.06085290185,8999.98975595472,1.06528015582272,649,7.92188002099236,"wetwSMs",5
"113","cp_5",8840.31702205402,8312.31177803754,8999.99992922044,1.05857055241823,466,10.2939119904689,"wetwSMs",5
"75","cp_1",2944.67137174597,2400.00609925805,3252.23299413713,1.00252670043005,1673,8.36098511292604,"wetmSMs",5
"85","cp_2",4421.28353548754,3797.40487108802,6699.97962190797,1.02693262191262,1350,3.67209219095769,"wetmSMs",5
"95","cp_3",6850.00724678819,6803.86542282539,6898.8294064151,0.999998824804382,335232,83.8306231378674,"wetmSMs",5
"104","cp_4",7450.30202187202,7404.3939147983,7499.26222342122,1.00000643412525,398744,62.5921391139336,"wetmSMs",5
"114","cp_5",8749.56817121303,8700.24373318133,8795.14636961495,1.0000600457091,332444,23.2978212082628,"wetmSMs",5
"76","cp_1",1550.2963208168,1504.52585535125,1599.8625050923,1.00004029317002,117939,20.499679113025,"pasSMs",5
"86","cp_2",2954.39274935,2900.5680858401,2999.44012554931,1.00754338955644,13740,34.1571530414362,"pasSMs",5
"96","cp_3",4071.43779938208,3700.00388293274,4511.02501336528,1.0001147480447,12795,25.7965833491306,"pasSMs",5
"105","cp_4",6038.0076402113,5362.38277110198,7500.07287066602,1.00495978139863,1640,3.60711375420318,"pasSMs",5
"115","cp_5",8665.40545079967,8216.82919078529,8799.99995109846,1.0035319895779,955,1.3261665278154,"pasSMs",5
"77","cp_1",1551.23657614856,1505.37521378407,1599.99146017527,1.00009634425759,71188,20.5800830604669,"araSMs",5
"87","cp_2",1994.66163810923,1805.66228376512,2099.99884601085,1.09775084947912,114,9.76116246426026,"araSMs",5
"97","cp_3",2284.08381814814,2022.84112152397,2399.9999843169,1.04381838182396,76,1.57867811670021,"araSMs",5
"106","cp_4",3050.60839692047,2304.59434603281,3299.99939481826,1.0384285159028,85,0.815718297546254,"araSMs",5
"116","cp_5",4315.60835074197,4200.00072176124,4433.23590674837,1.01500362276268,5013,49.268255097988,"araSMs",5
"78","cp_1",1772.5698002144,1412.72663686221,1999.2516059902,1.0015612661659,752,0.347246244881059,"heaSMs",5
"88","cp_2",3524.76502738155,1800.0023638371,5380.79454803539,1.00448979342828,420,0.186908301416152,"heaSMs",5
"98","cp_3",4806.87072013079,1800.00835543389,6078.01994717662,1.00338650305035,704,0.89465684972682,"heaSMs",5
"107","cp_4",5592.04662402568,3900.31289005541,7138.87447873649,1.00439588913806,991,10.8604988175839,"heaSMs",5
"117","cp_5",6766.6178244298,5100.0009410465,8137.42581805207,1.036160438923,1121,4.37124581436854,"heaSMs",5
