"","name","mean","lower","upper","Rhat","n.eff","BF","ID","CP_N"
"7","cp_1",775.664764750659,700.000548726629,880.664312019749,1.00122487953218,7504,20.4773440281076,"SPD",5
"8","cp_2",1078.69499350649,900.000293894888,1382.73264431429,1.02409847252142,155,22.1994043267704,"SPD",5
"9","cp_3",1466.77552741044,1300.00016776344,1781.43883155205,1.02889619231221,61,27.4048169834788,"SPD",5
"10","cp_4",1908.32272292301,1700.00008277353,2383.23540317961,1.03309407703215,25,0.623719212332008,"SPD",5
"11","cp_5",2710.31860870902,2300.00092753996,3771.16914528074,1.03029585661712,24,0.1023176824799,"SPD",5
"71","cp_1",2169.99761272622,700.133980242957,4722.01183472539,1.0118866282887,409,0.108779466908299,"clim",5
"81","cp_2",3375.4813982783,1799.99399409688,6759.82432184084,1.02512095017601,109,0.150048191590582,"clim",5
"91","cp_3",5264.88176323209,2600.00135419166,7969.9724279125,1.0082052598079,108,0.361218188080865,"clim",5
"101","cp_4",6879.03083050038,5619.89124793621,7999.998389668,1.01198427954403,367,3.28398948970663,"clim",5
"111","cp_5",8021.43947842326,7808.40185678574,8693.34963380925,1.0031454536737,2061,0.920101886557654,"clim",5
"72","cp_1",859.347575283894,799.940375755089,920.150991642009,1.05198199428609,1326,21.2431826176272,"conSWs",5
"82","cp_2",1511.21968155075,856.398214680101,1664.73807714543,1.02419227431658,433,51.7770949176484,"conSWs",5
"92","cp_3",2776.09261162698,1499.95153379438,3485.44317496265,1.02000354070043,572,2.22144061116223,"conSWs",5
"102","cp_4",4768.79829420855,3078.47640376154,7776.00380950669,1.01627798437301,196,0.145339944339287,"conSWs",5
"112","cp_5",7717.00246848622,7514.75076598052,7800.00846280723,1.00369314451156,1618,11.9490584660037,"conSWs",5
"73","cp_1",2615.48950702655,700.445190121208,5181.10277610534,1.00807371229948,337,0.120867759222882,"decSWs",5
"83","cp_2",5345.48505257325,2419.58026753002,8999.99947079778,1.02288478664285,149,0.48108211098341,"decSWs",5
"93","cp_3",7439.75182565474,3582.42924130328,8999.99976538603,1.01501524514709,117,2.27581438241886,"decSWs",5
"103","cp_4",8354.25476529117,5691.19405819681,8999.99993802137,1.01183156841909,70,0.188060509214827,"decSWs",5
"113","cp_5",8702.15036860621,7609.53441351113,8999.99999873253,1.06905768640166,116,0.0992771472322477,"decSWs",5
"74","cp_1",3192.97985313109,1302.15727585314,3600.00240871099,1.01544700900841,350,0.319767252851943,"wetwSWs",5
"84","cp_2",4811.22349510688,3446.21259895047,5700.17804661995,1.00687491775272,496,1.7135321870897,"wetwSWs",5
"94","cp_3",6253.10064718722,4558.02752364813,8400.00922748422,1.00782915551858,164,3.11431653285304,"wetwSWs",5
"104","cp_4",7785.7169907826,5590.94552899178,8869.76797200698,1.04880895015988,141,0.379430856310683,"wetwSWs",5
"114","cp_5",8522.48828384741,7660.29288389973,8999.99716756727,1.0374859749033,490,1.9709218380806,"wetwSWs",5
"5","cp_1",1499.58180067105,1313.62131534385,1599.99954417184,1.04181909402292,460,14.6529973578903,"wetmSWs",3
"6","cp_2",1916.51532939531,1811.74142810636,1999.99860711582,1.00574220223054,1876,65.0962491679037,"wetmSWs",3
"75","cp_3",4171.88259593239,3532.56414189824,4899.999629673,1.00139648867316,7834,8.15742961630587,"wetmSWs",3
"61","cp_1",1052.62466462773,1001.10437696775,1099.73714583912,1.00013624618461,66630,27.4460338212066,"pasSWs",4
"76","cp_2",2328.95601167616,1600.01360518833,3087.67048380379,1.0061935886296,286,0.25521439265572,"pasSWs",4
"85","cp_3",4247.96861661751,2900.01246653487,7717.11884926362,1.00465577853262,2024,1.74438559170893,"pasSWs",4
"95","cp_4",7783.60722830008,6301.07063665315,8109.96437120527,1.00181685924362,2693,10.7542458002159,"pasSWs",4
"77","cp_1",1093.49908673393,1003.12031399608,1199.89495305883,1.04259448702928,1284,9.97831180667054,"araSWs",5
"86","cp_2",1461.13678445368,1099.28813467913,2770.38894768376,1.02007576678963,706,2.83818674273969,"araSWs",5
"96","cp_3",2385.13437619353,1100.02156807401,4127.28656161189,1.04915281945796,463,1.56558330660781,"araSWs",5
"105","cp_4",4251.96327342228,2200.73682212601,8401.60611658339,1.00642247265419,439,0.415900783863,"araSWs",5
"115","cp_5",7075.87057934835,5302.44286929011,8896.28601520344,1.00168043894769,2699,0.99670004756612,"araSWs",5
"78","cp_1",944.739064012153,800.043758549531,1092.82801331348,1.00110291208962,26245,2.69083434445675,"heaSWs",5
"87","cp_2",2886.0362559328,1601.21588158939,3199.99908747119,1.01067895340296,878,2.12083150252637,"heaSWs",5
"97","cp_3",7223.62906684777,3058.28083088148,8099.89739227243,1.01906189381865,150,0.220991420059725,"heaSWs",5
"106","cp_4",8297.84131552981,7900.00666562568,8798.90025257213,1.00910228693497,1083,16.6595150366938,"heaSWs",5
"116","cp_5",8735.27354633435,8600.00602337993,8843.87951116221,1.0303399819998,2811,19.8202023031309,"heaSWs",5
